method,leaves,cpu_time,rf_ba_agreement
beam,59.5,0.05177620000000001,0.38095238095238093
beam_balance,56.8,0.0455456,0.38095238095238093
beam_lookahead,44.8,0.050161199999999996,0.38095238095238093
dp,35.6,0.025219799999999997,0.9619047619047618
greedy,44.5,0.0013204,0.9619047619047618
