method,leaves,cpu_time,rf_ba_agreement
beam,134.1,0.5662282000000001,0.413
beam_balance,138.9,0.5913667,0.413
beam_lookahead,131.4,0.9245136,0.413
dp,64.4,0.6579789,0.9349999999999999
greedy,132.3,0.009450700000000001,0.9349999999999999
