method,leaves,cpu_time,rf_ba_agreement
beam,16.9,0.009082799999999999,0.5506247541328552
beam_balance,18.7,0.0097888,0.5506247541328552
beam_lookahead,15.3,0.0112315,0.5506247541328552
dp,14.7,0.003661,0.9639570201359474
greedy,14.7,0.0007476,0.9639570201359474
