method,leaves,cpu_time,rf_ba_agreement
beam,181.6,0.7692555000000001,0.6459931798806479
beam_balance,185.6,0.7553313,0.6459931798806479
beam_lookahead,135.6,0.8717535,0.6459931798806479
dp,81.9,0.8901289,0.9810528559249787
greedy,140.8,0.013277,0.9810528559249787
