method,leaves,cpu_time,rf_ba_agreement
beam,20.9,0.0090159,0.617920677866566
beam_balance,22.5,0.0099138,0.617920677866566
beam_lookahead,19.5,0.012441299999999999,0.617920677866566
dp,16.9,0.0040236000000000004,0.9698768850017828
greedy,18.5,0.000623,0.9698768850017828
